시도,시군구,읍면동/구,읍/면/리/동,리,위도,경도
경상남도,진주시,지수면,금곡리,,35.2181,128.2479
경상남도,진주시,지수면,청원리,,35.2236,128.2909
경상남도,진주시,사봉면,,,35.1887966,128.2703009
경상남도,진주시,사봉면,부계리,,35.2008,128.3113
경상남도,진주시,사봉면,봉곡리,,35.2039781,128.281287
경상남도,진주시,사봉면,사곡리,,35.1905,128.2708
경상남도,진주시,사봉면,무촌리,,35.1821391,128.2640767
경상남도,진주시,사봉면,방촌리,,35.1983,128.2476
경상남도,진주시,사봉면,마성리,,35.2074185,128.2361661
경상남도,진주시,이반성면,,,35.1691837,128.3263264
경상남도,진주시,이반성면,발산리,,35.1441195,128.3482198
경상남도,진주시,이반성면,길성리,,35.1423,128.3239
경상남도,진주시,이반성면,대천리,,35.145049,128.311025
경상남도,진주시,이반성면,가산리,,35.1559,128.321
경상남도,진주시,이반성면,용암리,,35.1685667,128.3142099
경상남도,진주시,이반성면,하곡리,,35.1683173,128.3455319
경상남도,진주시,이반성면,평촌리,,35.1902,128.3265
경상남도,진주시,이반성면,장안리,,35.193,128.353
경상남도,진주시,일반성면,,,35.1712557,128.2771705
경상남도,진주시,일반성면,남산리,,35.1472343,128.260003
경상남도,진주시,일반성면,운천리,,35.1618,128.2704
경상남도,진주시,일반성면,답천리,,35.1545,128.2891
경상남도,진주시,일반성면,개암리,,35.1685822,128.2953595
경상남도,진주시,일반성면,가선리,,35.1766,128.2993
경상남도,진주시,일반성면,창촌리,,35.1740739,128.2874372
경상남도,진주시,진성면,,,35.1848271,128.223305
경상남도,진주시,진성면,동산리,,35.1921867,128.209569
경상남도,진주시,진성면,구천리,,35.1629739,128.2242934
경상남도,진주시,진성면,가진리,,35.2124424,128.2125557
경상남도,진주시,진성면,천곡리,,35.1823,128.2405
경상남도,진주시,진성면,온수리,,35.164341,128.2536906
경상남도,진주시,진성면,대사리,,35.1501839,128.2548784
경상남도,진주시,진성면,상촌리,,35.1794,128.2184
경상남도,진주시,금곡면,,,35.09439,128.187862
경상남도,진주시,금곡면,성산리,,35.0664,128.1896
경상남도,진주시,금곡면,죽곡리,,35.0681,128.1682
경상남도,진주시,금곡면,두문리,,35.0958,128.1884
경상남도,진주시,금곡면,동례리,,35.1054,128.1834
경상남도,진주시,금곡면,인담리,,35.1191686,128.1738493
경상남도,진주시,금곡면,정자리,,35.1337,128.1756
경상남도,진주시,금곡면,송곡리,,35.1336343,128.1957594
경상남도,진주시,금곡면,가봉리,,35.13211,128.2227194
경상남도,진주시,금곡면,검암리,,35.1171,128.1954
경상남도,진주시,정촌면,,,35.1312579,128.1029056
경상남도,진주시,정촌면,대축리,,35.1289,128.0741
경상남도,진주시,정촌면,예하리,,35.1156,128.0971
경상남도,진주시,정촌면,예상리,,35.1112014,128.1055684
경상남도,진주시,정촌면,소곡리,,35.1298,128.1289
경상남도,진주시,정촌면,관봉리,,35.1332751,128.1435768
경상남도,진주시,정촌면,화개리,,35.1287666,128.1090676
